ID,Day,Hour,Day_of_the_Week,Channel,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Conversions,,Channel,,,Hour,Facebook,Impr. Facebook,Google Search,Impr. Google Search,Youtube,Impr. Youtube,Snapchat,Impr. Snapchat,TikTok,Impr. Snapchat
BXJDHA00025339,15/10/2018,06,segunda-feira,Google Search,3894298,2151660,2062400,2699,"$4.315,46",40,,,,,,,,,,,,,,,
BXJDHA00007947,30/09/2018,05,domingo,Google Search,2853676,1624550,1561000,1925,"$3.072,61",65,,,,,,,,,,,,,,,
BXJDHA00010010,16/10/2018,03,terça-feira,Google Search,2604491,1486591,1413642,1468,"$2.342,42",40,,,,,,,,,,,,,,,
BXJDHA00011895,05/11/2018,05,segunda-feira,Google Search,2409947,1314454,1239837,1445,"$2.305,69",49,,,,,,,,,,,,,,,
BXJDHA00013598,17/11/2018,02,sábado,Google Search,3656494,2120743,1994075,2142,"$3.417,06",58,,,,,,,,,,,,,,,
BXJDHA00022792,14/11/2018,06,quarta-feira,Google Search,4422127,2646194,2506069,3636,"$5.799,10",69,,,,,,,,,,,,,,,
BXJDHA00016179,26/09/2018,04,quarta-feira,Google Search,2220937,1231731,1174980,1262,"$2.010,59",43,,,,,,,,,,,,,,,
BXJDHA00024303,15/11/2018,05,quinta-feira,Google Search,2743550,1435934,1333039,1756,"$2.796,84",60,,,,,,,,,,,,,,,
BXJDHA00004196,08/09/2018,05,sábado,Google Search,2173936,1351027,1280518,1503,"$2.388,33",41,,,,,,,,,,,,,,,
BXJDHA00016120,26/09/2018,05,quarta-feira,Google Search,2782882,1588044,1524628,1939,"$3.081,08",37,,,,,,,,,,,,,,,
BXJDHA00010405,14/10/2018,03,domingo,Google Search,2682462,1511178,1427762,1461,"$2.319,93",22,,,,,,,,,,,,,,,
BXJDHA00012395,03/11/2018,06,sábado,Google Search,3530803,2120971,2033404,2808,"$4.456,68",34,,,,,,,,,,,,,,,
BXJDHA00021893,29/10/2018,00,segunda-feira,Google Search,8523920,5220712,4997553,6077,"$9.636,52",73,,,,,,,,,,,,,,,
BXJDHA00018236,10/10/2018,04,quarta-feira,Google Search,2452969,1304036,1236942,1308,"$2.073,99",35,,,,,,,,,,,,,,,
BXJDHA00024478,15/11/2018,03,quinta-feira,Google Search,3195609,1725942,1612534,1810,"$2.865,17",34,,,,,,,,,,,,,,,
BXJDHA00012961,16/11/2018,04,sexta-feira,Google Search,2638485,1347762,1242981,1426,"$2.256,65",21,,,,,,,,,,,,,,,
BXJDHA00004671,13/09/2018,04,quinta-feira,Google Search,2208417,1272249,1199102,1320,"$2.088,87",45,,,,,,,,,,,,,,,
BXJDHA00024082,17/10/2018,02,quarta-feira,Google Search,3520618,2117981,2017858,2228,"$3.525,08",42,,,,,,,,,,,,,,,
BXJDHA00011912,05/11/2018,04,segunda-feira,Google Search,2131752,1173310,1101943,1246,"$1.968,55",34,,,,,,,,,,,,,,,
BXJDHA00023358,19/11/2018,07,segunda-feira,Google Search,7863059,4627545,4411945,6711,"$10.587,32",208,,,,,,,,,,,,,,,
BXJDHA00004999,12/09/2018,04,quarta-feira,Google Search,2244141,1250252,1178446,1276,"$2.012,78",19,,,,,,,,,,,,,,,
BXJDHA00025287,15/10/2018,02,segunda-feira,Google Search,3609845,2110083,2005661,2240,"$3.530,87",76,,,,,,,,,,,,,,,
BXJDHA00022780,14/11/2018,03,quarta-feira,Google Search,2749501,1579863,1477324,1688,"$2.659,26",32,,,,,,,,,,,,,,,
BXJDHA00013827,20/11/2018,01,terça-feira,Google Search,5719589,3308961,3143791,3805,"$5.993,25",129,,,,,,,,,,,,,,,
BXJDHA00018353,09/10/2018,20,terça-feira,YouTube,1709,359,358,1,"$1,57",0,,,,,,,,,,,,,,,
BXJDHA00012164,09/11/2018,05,sexta-feira,Google Search,2369379,1295391,1197006,1486,"$2.335,98",40,,,,,,,,,,,,,,,
BXJDHA00005246,15/09/2018,04,sábado,Google Search,1916082,1157097,1082448,1112,"$1.747,83",30,,,,,,,,,,,,,,,
BXJDHA00019691,26/10/2018,06,sexta-feira,Google Search,3500559,1982056,1872469,2846,"$4.470,55",34,,,,,,,,,,,,,,,
BXJDHA00007994,30/09/2018,04,domingo,Google Search,2213146,1254520,1199326,1221,"$1.916,59",33,,,,,,,,,,,,,,,
